word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,rating
B AY Z,3,-12.769875144060062,-12.768301382984822,-9.778039349420036,-9.9038784164859,-9.83194771988092,-9.917440999909068,1.1037247029670203,1.1048018044244805,1.103666091007697,1.10478682276587,1.003285290009455,1.0028133227471403,1.0031293380040671,1.0027823290107878,4.571
D AY Z,3,-12.33759724886804,-12.2917123001502,-9.3778556080911,-9.52975945715249,-9.433801699057788,-9.54396954054616,1.114996118656831,1.115936856540793,1.1149127872906637,1.1159158754070146,1.0057663997421722,1.0053756649072794,1.0054144587519251,1.0052918563939524,4.619
D R AY S,4,-13.500572774490374,-13.389907096019542,-14.322152990160811,-14.32258823754734,-14.34548489337019,-14.32839980004954,1.2121881667675647,1.214006413962024,1.2119410694262798,1.2139441832109383,1.00937266282709,1.010286531893113,1.0087809411022672,1.0101120931447425,3.857
F L IH JH,4,-14.267090207377496,-14.289258736841315,-12.664214138189209,-12.61925565885064,-12.714889557198088,-12.632666364285058,1.1354451265671734,1.1362139555111936,1.1353767393048857,1.1361970449484158,1.012493738249865,1.0124039669363964,1.011653903908459,1.012185607646663,4.05
F R OW,3,-11.3613097239073,-11.356232808432594,-10.43824735921608,-10.440439060073263,-10.480914075926163,-10.451789077373068,1.1512363276780324,1.153593725721788,1.1510736384799949,1.1535525187230402,1.0129144767657905,1.0129018889016903,1.011990546102738,1.0126603737555644,5.842
G EY R,3,-11.158338612677314,-11.16777742865436,-50.0,-50.0,-17.202120455628588,-18.428154825530584,1.126785683980238,1.1300927376013572,1.1266744658737624,1.130063440411066,1.0010149994361115,1.001032048234869,1.0010394714994373,1.0010381775142383,5.238
G L IH P,4,-13.485856830491466,-13.517233657995607,-14.7640711050562,-14.802290961650131,-14.793982418254917,-14.81014136942648,1.140600008587546,1.142547408807818,1.1405131179051888,1.1425244204982017,1.0101559186533435,1.0101566910289772,1.0094890590440904,1.0099801109754014,4.95
R AY F,3,-11.315212177121612,-11.222602273059293,-13.367500802527804,-13.252600901591272,-13.36471527747877,-13.251035139200308,1.1166876416943927,1.117649362807511,1.116600473429018,1.1176274449493413,1.002554076895012,1.0026347873361292,1.0024557491930226,1.002607484748341,5.611
S T IH N,4,-10.814691989876218,-10.799209690360096,-9.043299041150906,-9.077797027816056,-9.063224645414952,-9.082907409388316,1.2055299830169028,1.2116502602778818,1.2052977364931674,1.211589111207626,1.0207913400508832,1.022798768385287,1.019272034132967,1.022356262307636,5.4
S T IH P,4,-11.652908153150262,-11.616661029661024,-12.079414400283074,-12.051605558462033,-12.098379726247192,-12.056471059470626,1.1953650424722155,1.20204812799753,1.195158077032674,1.2019930938170442,1.0191930789589512,1.020980943441163,1.017815412330252,1.0205825185319637,5.45
B L IH G,4,-13.927658607194743,-13.999703689034664,-14.456783581646338,-14.312122901782452,-14.489975742579208,-14.321512457778883,1.144006488090777,1.1418235130005223,1.1439184979077002,1.1418034070991685,1.009553976070539,1.009669712208933,1.008946976351334,1.0095085734859413,3.714
CH EY K,3,-12.155169493653434,-12.065255471137776,-14.437779075478062,-13.896621120376096,-14.41121484698354,-13.896050814310271,1.0885812014437035,1.0905449570485604,1.088554509748226,1.0905372503694406,1.0018256268313572,1.002492256568731,1.0017845011332112,1.0024674536798612,5.333
D R IH T,4,-11.728485043354915,-11.677270011958106,-11.786590300243358,-11.78648686141076,-11.8055995334839,-11.791233750543196,1.2702010343255732,1.275172380866214,1.269815707109088,1.2750730424307772,1.0190671326088596,1.0193533207317338,1.0176786873574284,1.0189809300576638,4.3
F L IY P,4,-13.710048377000405,-13.697325866555982,-14.970552170000994,-14.693419180634445,-14.993897867527338,-14.699921489044366,1.1458895672451843,1.150577330678951,1.1457915954431028,1.150550178605274,1.0101417581475371,1.0103300632607102,1.009495360860747,1.0101566676009437,4.238
G L IY D,4,-14.010268250450824,-14.050867400698191,-14.098900145981606,-13.997391266889544,-14.13125603026761,-14.00598251623401,1.1236182889280044,1.126777242939857,1.1235700249330176,1.1267632029488948,1.0081875212130793,1.008440728296264,1.0076801052290298,1.008300432018715,5.286
G L IH T,4,-12.675391363086774,-12.713596059971104,-12.277903727035955,-12.33994035917654,-12.308113699271836,-12.347841879050389,1.1887396326765374,1.1921923749395118,1.188533014595451,1.1921377714129144,1.0111148753085029,1.0109798353363917,1.0103630321257195,1.0107832945253223,5.25
K W IY D,4,-14.792481901871115,-14.701491235717183,-12.7927119459498,-12.677318612932094,-12.8469808887966,-12.690757877551867,1.1627107161129049,1.1640497112292616,1.1625767607346469,1.164015608160063,1.0079879610817162,1.007972407126991,1.007498553278109,1.0078426329240715,3.81
P L IH M,4,-12.51108280524222,-12.523265018934236,-11.97123064133132,-11.992178589842691,-11.997226378607124,-11.998946247046838,1.1932834428433572,1.1892635700928489,1.1930831355734612,1.1892164606184157,1.0136523738987813,1.013573307342157,1.0127000874360284,1.013323120169776,4.429
S K R AY D,5,-16.48295678355434,-16.374512692875157,-15.44731223735999,-15.193289840629088,-15.48535902784157,-15.20319262628144,1.256154314881232,1.2615749863291152,1.2558712730400463,1.261502156053098,1.0143664216959372,1.0142371602974454,1.0134123015739398,1.0139845839267505,4.05
S P L IH NG,5,-17.587361471956726,-17.536456819303258,-15.164231960666536,-14.899513731566431,-15.26796040781358,-14.926947534193548,1.2615361821655935,1.2623198612981863,1.2612480130533832,1.2622488020492606,1.0209238736305937,1.0210260622035596,1.0193608450484155,1.0206035436454397,4.556
T IY P,3,-9.347509026865726,-9.34027018766233,-12.235844936165629,-12.001661496223107,-12.24366082102679,-12.00418733009253,1.1256055016115247,1.1250466476048764,1.1254982442284904,1.125020564053547,1.0048501559423852,1.005129061328264,1.0045674627091636,1.0050490289163467,4.952
G UW D,3,-12.282352498922274,-12.295449541370754,-12.382470340880715,-12.575874009578634,-12.35382758099644,-12.560765913544724,1.082095034080121,1.0814655180020385,1.082083456422406,1.0814629838568224,1.002398725576271,1.002158667298619,1.0023116492618354,1.0021407526602115,4.25
N AH NG,3,-10.42334179812656,-10.42171134492865,-12.950155815419263,-12.789769156284429,-13.028205328736856,-12.810584641589806,1.1205035041002065,1.1189641895692513,1.1204083811323051,1.118941691109621,1.0044351715670012,1.0044145328111092,1.0041867552629602,1.0043498619417808,3.211
