No.,Verb.,Verb_apra,pres,purpose,type,Phonological Well-Formedness Rating (PhonWF),Reg Past,Exp1 Reg production probability,Exp 2 production probability,Total Reg production probability,Total Reg production probability Phon WF Residuals,Reg Mean Rating,n,Reg Std Dev,Reg Std Error,Reg PhonWF Residuals (residuals from predicting L from F),"Reg PhonWF Residuals Adjusted (=P rescaled to m, s.d. of L)",Reg PhonWF/ Tradeoff Residuals (residuals from predicting L from F and AD),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of Q)",(blank),Irregular Past,2nd Irreg,Exp1 Irreg production probability,Exp 2 production probability,Total Irreg production probability,Total Irreg production probability Phon WF Residuals,Irreg Mean Rating,n,Irreg Std Dev,Irreg Std Error,Irreg PhonWF Residuals (residuals from predicting AD from F),"Irreg PhonWF Residuals Adjusted (=AH rescaled to m, s.d. of AD)",Irreg PhonWF/Tradeoff Residuals (residuals from predicting AD from F and L),Rule-Based Model Raw Output (= overall confidence),"Rule-Based Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)", Analogical Model Raw Output ,"Analogical Model, Adjusted for PhonWF, rescaled to m, s.d. of AI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bize,B AY Z,bÈYz,IOR,IOR both,4.571,bÈYzd,0.778,0.571,0.667,-0.137,5.304,23,1.769,0.369,-0.419,5.319,-0.327,0.988,6.059,0.530,5.873,,bÈoz,0,0.056,0.381,0.231,0.147,4.565,23,1.996,0.416,0.325,4.548,0.177,0.121,4.109,0.023,4.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,dize,D AY Z,dÈYz,IOR,IOR both,4.619,dÈYzd,0.889,0.762,0.821,0.014,5.417,24,1.792,0.366,-0.320,5.422,0.017,0.988,6.059,0.555,5.954,,dÈoz,0,0.111,0.190,0.154,0.071,5.042,24,1.756,0.359,0.811,5.040,0.714,0.554,4.726,0.040,4.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,drice,D R AY S,drÈYs,IOR,IOR both,3.857,drÈYst,1.000,0.913,0.953,0.203,6.261,23,1.010,0.211,0.739,6.522,0.717,0.998,6.216,0.417,5.507,,drÈos,0,0.000,0.087,0.047,-0.053,4.478,23,1.534,0.320,0.094,4.314,0.550,0.848,5.147,0.053,4.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,flidge,F L IH JH,flÈIJ,IOR,IOR both,4.050,flÈIJd,0.947,0.783,0.857,0.093,6.208,24,0.884,0.180,0.632,6.411,0.829,0.995,6.163,0.403,5.460,,flÈÃJ,0,0.000,0.043,0.024,-0.072,4.875,24,1.424,0.291,0.530,4.755,0.929,0.200,4.221,0.030,4.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,fro,F R OW,frÈo,IOR,IOR both,5.842,frÈod,0.950,0.833,0.886,-0.012,5.833,24,1.494,0.305,-0.247,5.497,-0.147,0.943,5.397,0.619,6.162,,frÈu,0,0.050,0.125,0.091,0.034,4.333,24,1.857,0.379,0.350,4.573,0.279,0.724,4.970,0.065,4.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,gare,G EY R,gÈer,IOR,IOR both,5.238,gÈerd,1.000,0.955,0.976,0.123,6.565,23,0.728,0.152,0.655,6.435,0.220,0.985,6.020,0.653,6.273,,gÈor,0,0.000,0.000,0.000,-0.070,3.391,23,1.948,0.406,-0.714,3.494,-0.314,0.257,4.302,0.047,4.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,glip,G L IH P,glÈIp,IOR,IOR both,4.950,glÈIpt,1.000,0.857,0.925,0.093,5.955,22,1.090,0.232,0.125,5.884,-0.306,0.988,6.068,0.507,5.798,,glÈÃp,0,0.000,0.048,0.025,-0.051,3.455,22,2.017,0.430,-0.709,3.500,-0.580,0.059,4.019,0.014,3.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,rife,R AY F,rÈYf,IOR,IOR both,5.611,rÈYft,0.950,0.762,0.854,-0.027,5.952,21,1.431,0.312,-0.063,5.689,-0.082,0.998,6.216,0.284,5.074,,rÈof,0,0.000,0.190,0.098,0.036,4.143,21,1.878,0.410,0.112,4.332,0.139,0.473,4.611,0.061,4.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,stin,S T IH N,stÈIn,IOR,IOR both,5.400,stÈInd,0.900,0.522,0.698,-0.167,5.304,23,1.917,0.400,-0.652,5.076,-0.369,0.972,5.830,0.576,6.024,,stÈÃn,0,0.100,0.261,0.186,0.120,4.783,23,1.704,0.355,0.710,4.937,0.434,0.280,4.336,0.095,4.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,stip,S T IH P,stÈIp,IOR,IOR both,5.450,stÈIpt,1.000,0.708,0.841,-0.028,5.917,24,1.442,0.294,-0.053,5.699,0.092,0.988,6.068,0.532,5.879,,stÈÃp,0,0.000,0.083,0.045,-0.020,4.500,24,1.560,0.319,0.437,4.661,0.470,0.149,4.148,0.050,4.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
