word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
B AY Z,3,-12.769875144060062,-12.768301382984822,-9.778039349420036,-9.903878416485899,-9.83194771988092,-9.917440999909068,1.1037247029670203,1.1048018044244805,1.103666091007697,1.10478682276587,1.0032852900094553,1.0028133227471403,1.0031293380040673,1.0027823290107878
D AY Z,3,-12.33759724886804,-12.2917123001502,-9.377855608091101,-9.52975945715249,-9.433801699057788,-9.543969540546161,1.114996118656831,1.115936856540793,1.1149127872906637,1.1159158754070146,1.0057663997421722,1.0053756649072794,1.0054144587519251,1.0052918563939524
D R AY S,4,-13.500572774490374,-13.389907096019542,-14.322152990160811,-14.322588237547341,-14.34548489337019,-14.328399800049539,1.2121881667675647,1.214006413962024,1.2119410694262798,1.2139441832109383,1.00937266282709,1.010286531893113,1.0087809411022672,1.0101120931447423
F L IH JH,4,-14.267090207377496,-14.289258736841315,-12.664214138189209,-12.619255658850639,-12.714889557198088,-12.632666364285058,1.1354451265671734,1.1362139555111936,1.1353767393048855,1.1361970449484158,1.0124937382498653,1.0124039669363964,1.0116539039084593,1.012185607646663
F R OW,3,-11.361309723907299,-11.356232808432594,-10.438247359216081,-10.440439060073265,-10.480914075926163,-10.451789077373068,1.1512363276780324,1.1535937257217879,1.1510736384799949,1.1535525187230402,1.0129144767657903,1.0129018889016903,1.011990546102738,1.0126603737555644
G EY R,3,-11.158338612677314,-11.167777428654361,-inf,-inf,-17.202120455628588,-18.428154825530584,1.126785683980238,1.1300927376013572,1.1266744658737624,1.130063440411066,1.0010149994361115,1.001032048234869,1.0010394714994373,1.0010381775142383
G L IH P,4,-13.485856830491466,-13.517233657995607,-14.7640711050562,-14.802290961650133,-14.793982418254915,-14.81014136942648,1.140600008587546,1.142547408807818,1.1405131179051888,1.1425244204982015,1.0101559186533435,1.0101566910289772,1.0094890590440904,1.0099801109754014
R AY F,3,-11.315212177121612,-11.222602273059291,-13.367500802527804,-13.252600901591272,-13.36471527747877,-13.251035139200308,1.1166876416943927,1.117649362807511,1.116600473429018,1.1176274449493413,1.0025540768950119,1.0026347873361292,1.0024557491930226,1.002607484748341
S T IH N,4,-10.814691989876218,-10.799209690360097,-9.043299041150906,-9.077797027816056,-9.063224645414953,-9.082907409388316,1.2055299830169028,1.2116502602778818,1.2052977364931674,1.211589111207626,1.0207913400508832,1.022798768385287,1.019272034132967,1.022356262307636
S T IH P,4,-11.652908153150262,-11.616661029661024,-12.079414400283074,-12.051605558462033,-12.098379726247192,-12.056471059470626,1.1953650424722155,1.2020481279975301,1.195158077032674,1.2019930938170442,1.0191930789589512,1.020980943441163,1.0178154123302519,1.0205825185319637
B L IH G,4,-13.927658607194745,-13.999703689034664,-14.456783581646338,-14.312122901782452,-14.489975742579208,-14.321512457778885,1.144006488090777,1.1418235130005223,1.1439184979077002,1.1418034070991685,1.009553976070539,1.009669712208933,1.008946976351334,1.0095085734859413
CH EY K,3,-12.155169493653434,-12.065255471137775,-14.437779075478062,-13.896621120376095,-14.411214846983539,-13.896050814310271,1.0885812014437037,1.0905449570485604,1.0885545097482259,1.0905372503694406,1.0018256268313572,1.002492256568731,1.0017845011332112,1.0024674536798612
D R IH T,4,-11.728485043354915,-11.677270011958106,-11.786590300243358,-11.786486861410761,-11.8055995334839,-11.791233750543196,1.2702010343255732,1.275172380866214,1.269815707109088,1.2750730424307772,1.0190671326088596,1.0193533207317338,1.0176786873574284,1.0189809300576638
F L IY P,4,-13.710048377000405,-13.697325866555982,-14.970552170000994,-14.693419180634443,-14.993897867527338,-14.699921489044366,1.1458895672451845,1.150577330678951,1.1457915954431028,1.150550178605274,1.0101417581475371,1.0103300632607102,1.009495360860747,1.0101566676009435
G L IY D,4,-14.010268250450824,-14.050867400698191,-14.098900145981606,-13.997391266889544,-14.13125603026761,-14.00598251623401,1.1236182889280044,1.126777242939857,1.1235700249330176,1.1267632029488948,1.0081875212130793,1.008440728296264,1.0076801052290298,1.008300432018715
G L IH T,4,-12.675391363086774,-12.713596059971104,-12.277903727035955,-12.339940359176541,-12.308113699271836,-12.347841879050389,1.1887396326765374,1.1921923749395118,1.188533014595451,1.1921377714129144,1.0111148753085029,1.0109798353363915,1.0103630321257195,1.0107832945253223
K W IY D,4,-14.792481901871117,-14.701491235717185,-12.792711945949799,-12.677318612932094,-12.8469808887966,-12.690757877551867,1.1627107161129049,1.1640497112292616,1.1625767607346467,1.164015608160063,1.0079879610817162,1.0079724071269913,1.0074985532781093,1.0078426329240717
P L IH M,4,-12.51108280524222,-12.523265018934236,-11.971230641331319,-11.992178589842691,-11.997226378607124,-11.998946247046838,1.1932834428433572,1.1892635700928489,1.1930831355734612,1.1892164606184155,1.0136523738987813,1.0135733073421567,1.0127000874360284,1.0133231201697759
S K R AY D,5,-16.48295678355434,-16.374512692875157,-15.44731223735999,-15.193289840629088,-15.48535902784157,-15.20319262628144,1.256154314881232,1.2615749863291152,1.2558712730400463,1.261502156053098,1.0143664216959372,1.0142371602974454,1.0134123015739398,1.0139845839267503
S P L IH NG,5,-17.587361471956726,-17.536456819303258,-15.164231960666536,-14.899513731566431,-15.267960407813579,-14.926947534193548,1.2615361821655935,1.2623198612981863,1.2612480130533832,1.2622488020492606,1.0209238736305937,1.0210260622035596,1.0193608450484155,1.0206035436454395
T IY P,3,-9.347509026865726,-9.34027018766233,-12.235844936165627,-12.001661496223107,-12.24366082102679,-12.00418733009253,1.1256055016115247,1.1250466476048764,1.1254982442284904,1.125020564053547,1.0048501559423852,1.005129061328264,1.0045674627091636,1.0050490289163467
G UW D,3,-12.282352498922274,-12.295449541370754,-12.382470340880717,-12.575874009578634,-12.35382758099644,-12.560765913544724,1.082095034080121,1.0814655180020383,1.082083456422406,1.0814629838568224,1.002398725576271,1.002158667298619,1.0023116492618354,1.0021407526602117
N AH NG,3,-10.42334179812656,-10.42171134492865,-12.950155815419265,-12.789769156284429,-13.028205328736856,-12.810584641589806,1.1205035041002063,1.1189641895692513,1.1204083811323053,1.118941691109621,1.0044351715670012,1.0044145328111092,1.0041867552629602,1.0043498619417808
P AE NG K,4,-15.731777445518338,-15.707378400608729,-11.369505465197152,-11.458154802843278,-11.47899136232294,-11.486532506691244,1.2078249598789321,1.2009343546036113,1.2075895921351771,1.20087984731737,1.015908392315507,1.0149393420248551,1.0147501228562772,1.014651387618613
P R IY K,4,-12.582217377390755,-12.565810690974114,-11.242062734305744,-11.168312263917352,-11.266116017524357,-11.174634744011804,1.2377790028145956,1.2375478930718253,1.2374776290481853,1.2374735362424445,1.036612792151494,1.0371029325291239,1.0338603070313575,1.0363713113343798
R AE S K,4,-12.333078267390764,-12.3217851108898,-12.787895472283678,-12.879868572470349,-12.811637774675305,-12.88595150933179,1.2477965787009833,1.2486318092017592,1.2474711340942806,1.2485507316961924,1.0173511832263045,1.016555498263955,1.0160719862327852,1.0162305566114798
SH IH L K,4,-12.817231021727546,-12.824665633123482,-18.328980735298558,-18.302604739453812,-18.308129144293744,-18.29672716446818,1.2244539444386404,1.2251425814769086,1.2241798428083217,1.2250742563815324,1.0136599041495773,1.0135282005683874,1.0127164366878039,1.0132822634871972
T AA R K,4,-12.336644755022329,-12.33993606318315,-14.894820461489129,-14.907975572695621,-14.908697997026772,-14.91164533235272,1.2263697713969468,1.2251598332339801,1.2260913426931248,1.2250914395261852,1.021616885396976,1.0215010573251404,1.020026651666588,1.0210829470112874
