word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,rating
B L IY G IH F,6,-21.285602250970623,-21.364756874304696,-23.544155163633757,-23.169248542160226,-23.55456181643929,-23.17280447123044,1.1974584339029302,1.194875359738716,1.1973661131547024,1.1948545091186444,1.0092144704786865,1.009926563101143,1.0086908110020265,1.0097643455375225,3.8
B L EH Z IH G,6,-21.89701032444915,-21.962857251164507,-22.10894083016407,-21.749738962782555,-22.154995986872517,-21.763151995503645,1.1952574776234284,1.192459595514065,1.19517585415709,1.1924430374034118,1.0109573221810333,1.0114525903487883,1.0103302915230126,1.0112771907838185,3.35
B R IY G IH F,6,-21.26431799054181,-21.312930225766067,-21.717070482393915,-21.478275045681897,-21.733443644439657,-21.48309369534805,1.2425695199523268,1.242020694077704,1.2423782101557714,1.241974415977271,1.0191783063126734,1.01973175061612,1.0178605054737606,1.0193646945968309,3.6
B R EH P IH D,6,-19.850933991550622,-19.783285054092342,-18.552924180872083,-18.56171280234346,-18.59320273298371,-18.57196354645545,1.2993980849443751,1.3031342107247048,1.2990297316047936,1.303038540934027,1.024876432159332,1.0252098081566117,1.0228372525761058,1.0246451736966902,3.9
B W IY G IH F,6,-23.465058633510917,-23.442729822304702,-50.0,-50.0,-28.04733272023042,-29.07897352698405,1.1630612307902652,1.160326334358654,1.1630443891913873,1.1603241174947465,1.003319635733587,1.0037541478670673,1.0032638682435235,1.0037200246760158,2.25
B W AA S IH P,6,-21.826161454220728,-21.76996195745743,-50.0,-50.0,-24.60741936317933,-25.97292211163369,1.2014643994972958,1.196045179648568,1.2013519165423598,1.196020698279804,1.0105758827111375,1.009636248377883,1.0098645552468677,1.0094615657105843,2.7
D G EH P IH D,6,-20.91194316311652,-20.85977901050486,-50.0,-50.0,-25.654632911623978,-26.834245427113423,1.2273267691579255,1.2285538770682267,1.2271165786782854,1.2284984377489698,1.009247001078211,1.00890014609606,1.0084514745973183,1.0086754396844584,1.421052632
D G AA T IH F,6,-21.14460859892499,-21.173169206708817,-50.0,-50.0,-25.60810041517068,-26.97619781062557,1.2427745732645952,1.2436752552933683,1.2425623020578689,1.2436207588344144,1.016322969602377,1.0162012832646283,1.0149207344254338,1.0157980785142553,1.45
D N IY G IH F,6,-20.55196505801937,-20.58159249519885,-28.412025757479626,-28.23944136495526,-28.016940308810685,-28.12846973003207,1.21904901052654,1.2139488476913518,1.2189093266266635,1.21391771606064,1.0026892271141818,1.003103358308283,1.002684005302037,1.0030829447649758,1.631578947
D N AA T IH F,6,-19.37124649483665,-19.36533751972909,-26.0738902636921,-26.00541634925091,-25.70216705013252,-25.90032767582339,1.291325379625258,1.290183742563494,1.2910065714552694,1.2901041621028404,1.0171253078452562,1.0168284350058872,1.0156587418055076,1.0164120185662069,1.6
D R IY G IH F,6,-20.832040095349782,-20.83634114293144,-22.459705122237587,-22.26135110613433,-22.4675151237596,-22.263753245277183,1.2538409356421374,1.2531557461940166,1.253624906438738,1.2531034686184157,1.0153438639984746,1.016153372921603,1.0143289552270711,1.015860074116634,3.15
