a,##
abacus,{b@k@s
abandon,@b{nd@n
abase,@b1s
abash,@b{S
abate,@b1t
abbe,{b1
abbess,{bEs
abbey,{bI
abbot,{b@t
abbreviate,@brivI1t
abdicate,{bdIk1t
abdomen,{bd@mEn
abduct,@bdVkt
abet,@bEt
abeyant,@b1@nt
abhor,@bh$
abide,@b2d
abject,{b_Ekt
abjure,@b_9
ablative,{bl@tIv
able,1b@l
ablution,@bluS@n
abode,@b5d
abolish,@bQlIS
abominable,@bQmIn@b@l
abominate,@bQmIn1t
aborigine,{b@rI_InI
abort,@b$t
abound,@b6nd
about,@b6t
above,@bVv
abrade,@br1d
abridge,@brI_
abrogate,{br5g1t
abrupt,@brVpt
abscess,{bsIs
abscond,@bskQnd
absent,{bs@nt
absinth,{bsInT
absolute,{bs@lut
absolve,@bzQlv
absorb,@bs$b
abstain,@bst1n
abstemious,{bstimj@s
abstract,{bstr{kt
abstruse,{bstrus
absurd,@bs3d
abysmal,@bIzm@l
abyss,@bIs
acacia,@k1S@
academy,@k{d@mI
accede,{ksid
accent,{ksEnt
accept,@ksEpt
access,{ksEs
accident,{ksId@nt
acclivity,@klIv@tI
accolade,{k5l1d
accommodate,@kQm@d1t
accomplice,@kVmplIs
accomplish,@kVmplIS
accord,@k$d
accost,@kQst
account,@k6nt
accrete,@krit
accrue,@kru
accurate,{kjUr@t
accursed,@k3sId
accurst,@k3st
accuse,@kjuz
ace,1s
acerbic,@s3bIk
acetate,{sIt1t
acetic,@sitIk
acetyl,{sItIl
ache,1k
achieve,@Jiv
acid,{sId
acme,{kmI
acne,{knI
acolyte,{k5l2t
aconite,{k@n2t
acorn,1k$n
acoustic,@kustIk
acquiesce,{kwIEs
acquire,@kw2@
acre,1k@
acrid,{krId
acrimony,{krIm@nI
acrobat,{kr@b{t
acronym,{kr5nIm
acropolis,@krQp@lIs
acrostic,@krQstIk
acrylic,{krIlIk
act,{kt
actinism,{ktInIz@m
actuary,{ktj9rI
acumen,{kjUm@n
