word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
r rz,2,-6.180461442819372,-6.195480082234438,-6.532362316698494,-6.531897239174898,-7.8012425218387165,-9.057589830124954,-8.536634914814483,-9.233014298947088,1.071680790960452,1.0501787610495175,1.0712182971014494,1.0506830241289649,1.0084745762711864,1.001879962521917,1.003189792663477,1.001457363265545
w rz,2,-6.679452608938359,-6.683183288579574,-6.934639658163073,-6.930256507008663,-inf,-inf,-10.036873535283592,-10.333661938953094,1.063868290960452,1.0435499502956749,1.0639719202898552,1.044263131207464,1,1,1.0007974481658692,1.0006107223355551
m rz,2,-6.42162349963626,-6.431868860298668,-7.044886373125463,-7.039128065249382,-7.965545573129992,-inf,-8.445373323536158,-8.861654684104163,1.0925141242937855,1.0716048883568843,1.0905419685990339,1.0714338719271166,1.002824858757062,1.0,1.0015948963317385,1.0006107223355551
l ni,2,-6.924901917766867,-6.917914455066172,-7.2870762265334745,-7.27435217384458,-7.508787170634276,-9.040010826429832,-8.232214532154904,-9.100580266625146,1.0519067796610169,1.041087179215109,1.0529891304347827,1.0419338243226048,1.002824858757062,1.0009399812609585,1.0015948963317385,1.0010340428005502
sz p,2,-6.334612122646629,-6.348028575205602,-5.9122589581145215,-5.923604441453863,-7.100548135643386,-7.255137316759141,-7.944570681619576,-7.603180544109684,1.0975017655367232,1.1040569291912719,1.0951841787439613,1.1027028988512149,1.0112994350282485,1.006739595143834,1.003987240829346,1.003645898321145
sz f,2,-5.947839147550617,-5.969962441285552,-5.75919853824476,-5.771884330449986,-8.026317611472086,-7.677068940254632,-8.324845540899181,-7.87117347996908,1.091852048022599,1.10402541307615,1.089975845410628,1.1026726147883497,1.002824858757062,1.0036724039484872,1.0015948963317385,1.0022645890791726
m n,2,-6.778298443574991,-6.774813611425499,-7.283145133903198,-7.270915382203995,-7.062326922823189,-6.902423703529983,-7.774917554178284,-7.508031532964427,1.0783898305084747,1.0668214249484904,1.0775211352657004,1.066837407356109,1.002824858757062,1.0028199437828758,1.0015948963317385,1.00188068373054
g dzi,2,-8.227113161676215,-8.127341110074571,-8.166450607364506,-8.12044036847667,-6.830730235797922,-6.612747128988186,-8.363653436047736,-7.674546995760094,1.0553495762711864,1.0574411215204884,1.05631038647343,1.0579265253699166,1.002824858757062,1.0031225501594458,1.0015948963317385,1.0020169624813628
rz v,2,-6.078678748509429,-6.0953966236774555,-6.797530093748076,-6.7946608144035725,-7.305188215393037,-7.975786269290947,-8.054348899582788,-8.45226852732357,1.0768891242937855,1.0616759898497656,1.0760492149758454,1.0617161549044,1.002824858757062,1.0014898350499999,1.0015948963317385,1.00128166939836
p sz,2,-6.334612122646629,-6.348028575205602,-5.9122589581145215,-5.923604441453863,-6.726265954971911,-5.459077757350398,-7.579927568031666,-5.940484934639262,1.0894685734463276,1.109166437644674,1.0877490942028984,1.1077361414363276,1.0056497175141244,1.0133070469522996,1.0023923444976077,1.00660354957321
