word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
K R,2,-4.442198665398635,-4.670898475261252,-4.3984407253995625,-4.4495794434192835,-4.007333185232471,-3.809666456837841,-6.027107438913379,-4.480465901380814,1.3454545454545455,1.4015984393514964,1.2467532467532467,1.365184828033187,1.0303030303030303,1.038297380135727,1.0038684719535784,1.0108796258301527
G R,2,-5.135345845958581,-5.2586851401633705,-5.104686915341249,-5.130634928347961,-4.007333185232471,-3.9448467265955682,-6.294422208540726,-4.858385987864167,1.3454545454545455,1.3833272765277393,1.2467532467532467,1.3481628346408825,1.0303030303030303,1.037292731629929,1.0038684719535784,1.0106352380087749
K L,2,-4.809923445523953,-5.007370711882464,-4.907211335544121,-4.949203897295973,-4.007333185232471,-4.428090497988186,-6.245796639878209,-5.168006861876308,1.2545454545454546,1.2910546860587104,1.192207792207792,1.268335861723711,1.0303030303030303,1.0363309998871122,1.0038684719535784,1.01040128999211
S T,2,-4.838094322490649,-5.007370711882464,-4.784178329860876,-4.825225775695481,-4.230476736546681,-4.03501485962245,-6.394556471070591,-4.824281909461863,1.315151515151515,1.2939363961394625,1.2493506493506492,1.2784880822001334,1.0606060606060606,1.0736920463900366,1.0058027079303675,1.019489627561467
S M,2,-5.754385054364803,-5.700517892442409,-5.659120409372727,-5.654239558675158,-4.007333185232471,-4.2199393368578875,-6.686692893871752,-5.36407902132672,1.2848484848484847,1.2485682458895127,1.2311688311688311,1.238740395657927,1.0303030303030303,1.0283238961400867,1.0038684719535784,1.008453505638689
P R,2,-4.729880737850416,-4.922212903542158,-4.5733185729035934,-4.619718683606517,-4.007333185232471,-3.8164063342542525,-6.1835596157289165,-4.549197198242742,1.3272727272727272,1.3853398739202565,1.2337662337662338,1.350037834051005,1.0303030303030303,1.044688202939821,1.0038684719535784,1.0124342384662042
T R,2,-4.91220229464437,-5.076363583369416,-4.708946169787985,-4.751075446984653,-3.8250116284385163,-3.773325109613461,-6.148468295917646,-4.560980170614593,1.3272727272727272,1.3764367807536175,1.2337662337662338,1.3417434307601237,1.0303030303030303,1.0401339692528773,1.0038684719535784,1.0113263890617865
D R,2,-5.423027918410361,-5.48182869147758,-5.294153977792391,-5.309908885255572,-4.007333185232471,-4.025625999322512,-6.479825431872089,-5.023974174656231,1.3272727272727272,1.3721801843189378,1.2337662337662338,1.3377778508414435,1.0303030303030303,1.0343987137422381,1.0038684719535784,1.0099312477848117
B L,2,-5.7907526985356785,-5.818300928098793,-5.660656252249373,-5.675087274792332,-4.007333185232471,-4.02386479287838,-6.698514632836919,-5.0898860884308545,1.2363636363636363,1.269806088536066,1.1792207792207792,1.248539995958895,1.0303030303030303,1.0344593503596777,1.0038684719535784,1.0099459980688625
F L,2,-5.7907526985356785,-5.818300928098793,-5.668983581789826,-5.682985179698547,-4.007333185232471,-3.9679016983179447,-6.698514632836919,-5.0467133854173385,1.2363636363636363,1.269295205682138,1.1792207792207792,1.2480640413276718,1.0303030303030303,1.036442784161677,1.0038684719535784,1.0104284823038165
S L,2,-4.250307657588531,-4.4965450881164735,-4.386676910835433,-4.438806863101918,-4.007333185232471,-4.02386479287838,-5.729580167477342,-4.617599889855216,1.4363636363636363,1.4284444998375787,1.322077922077922,1.3963325592996867,1.0303030303030303,1.0344593503596777,1.0038684719535784,1.0099459980688625
B R,2,-5.423027918410361,-5.48182869147758,-5.151885642104815,-5.175462820915643,-4.007333185232471,-3.9512315126356388,-6.479825431872089,-4.887361273001915,1.3272727272727272,1.380349841828852,1.2337662337662338,1.345388962268371,1.0303030303030303,1.0370553840307397,1.0038684719535784,1.0105775015344356
F R,2,-5.423027918410361,-5.48182869147758,-5.160212971645268,-5.183360725821857,-4.007333185232471,-3.9915566088822914,-6.479825431872089,-4.925820081733298,1.3272727272727272,1.379838958974924,1.2337662337662338,1.3449130076371478,1.0303030303030303,1.0355908493079842,1.0038684719535784,1.0102212431533593
S P,2,-4.655772765696694,-4.853220032055206,-4.648550732976485,-4.693869012317345,-4.007333185232471,-4.048079749264678,-6.141965718430079,-4.788636706885671,1.3454545454545452,1.3036330123120372,1.2675324675324675,1.2869834265777238,1.0909090909090908,1.0833886625626112,1.0077369439071566,1.0218483977059263
P L,2,-5.097605517975733,-5.2586851401633705,-5.082089183048151,-5.119343137483207,-4.007333185232471,-4.032630084616907,-6.402248816693747,-4.886279882142127,1.2363636363636363,1.2747961206274705,1.1792207792207792,1.253188867741529,1.0303030303030303,1.0351726573703863,1.0038684719535784,1.0101195150206268
S N,2,-5.754385054364803,-5.700517892442409,-5.721487543240323,-5.711664866716147,-4.007333185232471,-4.15734987849931,-6.686692893871752,-5.349263595148878,1.2848484848484847,1.2503976775920758,1.2311688311688311,1.2403431869875985,1.0303030303030303,1.0301533278426498,1.0038684719535784,1.008898527778839
M R,2,-5.828493026518526,-5.769510763929361,-5.583888249299836,-5.580089229964331,-inf,-inf,-7.8268990798386975,-7.448267604160723,1.2909090909090908,1.3440394158078761,1.2077922077922079,1.3115610205132264,1,1,1.001934235976789,1.0015635185131846
SH R,2,-5.828493026518526,-5.769510763929361,-5.803447496156556,-5.780923558194997,-4.007333185232471,-4.397747073635836,-6.728286791170588,-5.619604269218489,1.309090909090909,1.3508548316018179,1.2207792207792207,1.3179104775088941,1.0303030303030303,1.0237100284063902,1.0038684719535784,1.0073311498325979
G L,2,-5.503070626083899,-5.595157376784583,-5.613457525485806,-5.630259382224651,-4.007333185232471,-4.118909234414334,-6.513111409505556,-5.145846263810018,1.2545454545454546,1.2727835232349534,1.192207792207792,1.2513138683314067,1.0303030303030303,1.031335007949622,1.0038684719535784,1.0091859797834373
SH L,2,-6.196217806643843,-6.105983000550574,-6.312218106301114,-6.280548012071687,-inf,-inf,-7.640123172695364,-7.305763733647595,1.2181818181818183,1.2403110783090319,1.166233766233766,1.2210615111994183,1,1,1.001934235976789,1.0015635185131846
S K,2,-4.3680906932449135,-4.6019056037743,-4.473672885472454,-4.52372977213011,-4.007333185232471,-4.099215139445802,-5.985513541614543,-4.779991194504578,1.3757575757575755,1.3127629340372722,1.2857142857142856,1.2949822818294854,1.121212121212121,1.0925185842878462,1.009671179883946,1.024069315436757
