Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
1,bimf,B IH M F,46,control,natural,NatCon,3.032,0,0.00000704,line,2,81.64897,4.402429205
2,bimf,B IH M F,67,control,natural,NatCon,3.032,0,0.00000704,line,1,78.79665,4.366870483
3,bimf,B IH M F,35,control,natural,NatCon,3.032,0,0.00000704,line,2,165.1513,5.106862023
4,bimf,B IH M F,49,control,natural,NatCon,3.032,0,0.00000704,line,1,51.43872,3.940391196
5,bimf,B IH M F,51,control,natural,NatCon,3.032,0,0.00000704,line,2,15.62695,2.748996988
6,bimf,B IH M F,79,control,natural,NatCon,3.032,0,0.00000704,line,1,29.95166,3.399584749
7,bimf,B IH M F,20,control,natural,NatCon,3.032,0,0.00000704,line,2,78.13477,4.358435156
8,bimf,B IH M F,79,control,natural,NatCon,3.032,0,0.00000704,line,2,18.89379,2.938833297
9,bimf,B IH M F,8,control,natural,NatCon,3.032,0,0.00000704,line,1,126.9707,4.843956351
10,bimf,B IH M F,65,control,natural,NatCon,3.032,0,0.00000704,line,1,17.7659,2.87728089
11,bimf,B IH M F,27,control,natural,NatCon,3.032,0,0.00000704,line,1,11.57552,2.448892523
12,bimf,B IH M F,79,control,natural,NatCon,3.032,0,0.00000704,line,2,NA,NA
13,bimf,B IH M F,26,control,natural,NatCon,3.032,0,0.00000704,line,2,37.77075,3.631534994
14,bimf,B IH M F,79,control,natural,NatCon,3.032,0,0.00000704,line,2,7.813477,2.055850063
15,bimf,B IH M F,15,control,natural,NatCon,3.032,0,0.00000704,line,2,21,3.044522438
16,bimf,B IH M F,32,control,natural,NatCon,3.032,0,0.00000704,line,2,76.1814,4.333117338
17,bimf,B IH M F,47,control,natural,NatCon,3.032,0,0.00000704,line,2,71.0133,4.262867183
18,bimf,B IH M F,63,control,natural,NatCon,3.032,0,0.00000704,line,2,48.18311,3.875008545
19,bimf,B IH M F,36,control,natural,NatCon,3.032,0,0.00000704,line,1,40.36963,3.69807777
20,bimf,B IH M F,51,control,natural,NatCon,3.032,0,0.00000704,line,2,93.76172,4.54075667
21,bimf,B IH M F,54,control,natural,NatCon,3.032,0,0.00000704,line,2,18.88257,2.938239274
22,bimf,B IH M F,62,control,natural,NatCon,3.032,0,0.00000704,line,2,123.7202,4.818022564
23,bimf,B IH M F,68,control,natural,NatCon,3.032,0,0.00000704,line,2,54.88392,4.005220409
24,bimf,B IH M F,60,control,natural,NatCon,3.032,0,0.00000704,line,2,89.20386,4.490924312
25,bimf,B IH M F,43,control,natural,NatCon,3.032,0,0.00000704,line,2,28.64941,3.35513285
26,bimf,B IH M F,7,control,natural,NatCon,3.032,0,0.00000704,line,1,72.92578,4.289442212
27,bimf,B IH M F,15,control,natural,NatCon,3.032,0,0.00000704,line,2,111.8994,4.717600253
28,bimf,B IH M F,5,control,natural,NatCon,3.032,0,0.00000704,line,2,46.88538,3.8477059
29,bimf,B IH M F,16,control,natural,NatCon,3.032,0,0.00000704,line,2,34.76994,3.54875322
1,brell,B R EH L,41,control,natural,NatCon,4.068,0,0.0000187,line,2,244.7699,5.500318586
2,brell,B R EH L,27,control,natural,NatCon,4.068,0,0.0000187,line,1,59.2522,4.08180291
3,brell,B R EH L,8,control,natural,NatCon,4.068,0,0.0000187,line,2,208.3608,5.339271192
4,brell,B R EH L,64,control,natural,NatCon,4.068,0,0.0000187,line,1,423.8811,6.049452991
5,brell,B R EH L,43,control,natural,NatCon,4.068,0,0.0000187,line,2,67.06567,4.205672289
6,brell,B R EH L,14,control,natural,NatCon,4.068,0,0.0000187,line,1,205.7549,5.326685655
7,brell,B R EH L,74,control,natural,NatCon,4.068,0,0.0000187,line,2,168.4261,5.126497078
8,brell,B R EH L,20,control,natural,NatCon,4.068,0,0.0000187,line,2,186.8825,5.230480077
9,brell,B R EH L,48,control,natural,NatCon,4.068,0,0.0000187,line,1,567.2123,6.34073366
10,brell,B R EH L,53,control,natural,NatCon,4.068,0,0.0000187,line,1,485.4002,6.184973705
11,brell,B R EH L,3,control,natural,NatCon,4.068,0,0.0000187,line,1,179.0946,5.187914158
12,brell,B R EH L,11,control,natural,NatCon,4.068,0,0.0000187,line,2,422.6396,6.046519806
13,brell,B R EH L,76,control,natural,NatCon,4.068,0,0.0000187,line,2,223.4301,5.409098613
14,brell,B R EH L,26,control,natural,NatCon,4.068,0,0.0000187,line,2,356.825,5.877245466
15,brell,B R EH L,19,control,natural,NatCon,4.068,0,0.0000187,line,2,117,4.762173935
16,brell,B R EH L,39,control,natural,NatCon,4.068,0,0.0000187,line,2,546.2938,6.303156926
17,brell,B R EH L,5,control,natural,NatCon,4.068,0,0.0000187,line,2,220.7079,5.396840108
18,brell,B R EH L,16,control,natural,NatCon,4.068,0,0.0000187,line,2,112.6462,4.724251934
19,brell,B R EH L,38,control,natural,NatCon,4.068,0,0.0000187,line,1,497.5096,6.209614853
20,brell,B R EH L,42,control,natural,NatCon,4.068,0,0.0000187,line,2,130.2246,4.869260652
21,brell,B R EH L,12,control,natural,NatCon,4.068,0,0.0000187,line,2,468.1615,6.148813322
22,brell,B R EH L,15,control,natural,NatCon,4.068,0,0.0000187,line,2,153.6706,5.034811351
23,brell,B R EH L,58,control,natural,NatCon,4.068,0,0.0000187,line,2,326.2185,5.787567402
24,brell,B R EH L,40,control,natural,NatCon,4.068,0,0.0000187,line,2,233.7532,5.454265858
25,brell,B R EH L,8,control,natural,NatCon,4.068,0,0.0000187,line,2,27.34717,3.30861305
26,brell,B R EH L,65,control,natural,NatCon,4.068,0,0.0000187,line,1,197.9414,5.287971027
27,brell,B R EH L,5,control,natural,NatCon,4.068,0,0.0000187,line,2,326.4297,5.788214612
28,brell,B R EH L,69,control,natural,NatCon,4.068,0,0.0000187,line,2,130.8773,4.874260243
29,brell,B R EH L,62,control,natural,NatCon,4.068,0,0.0000187,line,2,46.0127,3.828917445
1,canift,K AH N IH F T,15,control,natural,NatCon,4.538,0,0.000000806,line,2,128.5147,4.856043295
2,canift,K AH N IH F T,39,control,natural,NatCon,4.538,0,0.000000806,line,1,106.7842,4.670809976
3,canift,K AH N IH F T,60,control,natural,NatCon,4.538,0,0.000000806,line,2,144.3082,4.97195129
4,canift,K AH N IH F T,67,control,natural,NatCon,4.538,0,0.000000806,line,1,98.9707,4.594823847
5,canift,K AH N IH F T,28,control,natural,NatCon,4.538,0,0.000000806,line,2,100.2729,4.607895469
6,canift,K AH N IH F T,52,control,natural,NatCon,4.538,0,0.000000806,line,1,137.387,4.922801761
7,canift,K AH N IH F T,54,control,natural,NatCon,4.538,0,0.000000806,line,2,59.90332,4.092731929
8,canift,K AH N IH F T,78,control,natural,NatCon,4.538,0,0.000000806,line,2,39.71851,3.681817326
9,canift,K AH N IH F T,17,control,natural,NatCon,4.538,0,0.000000806,line,1,397.1898,5.984414252
10,canift,K AH N IH F T,38,control,natural,NatCon,4.538,0,0.000000806,line,1,125.0156,4.82843853
11,canift,K AH N IH F T,73,control,natural,NatCon,4.538,0,0.000000806,line,1,49.44312,3.900822918
12,canift,K AH N IH F T,36,control,natural,NatCon,4.538,0,0.000000806,line,2,214.3392,5.367559807
13,canift,K AH N IH F T,53,control,natural,NatCon,4.538,0,0.000000806,line,2,72.93741,4.289601676
14,canift,K AH N IH F T,8,control,natural,NatCon,4.538,0,0.000000806,line,2,51.22904,3.936306559
15,canift,K AH N IH F T,4,control,natural,NatCon,4.538,0,0.000000806,line,2,56.25,4.029806041
16,canift,K AH N IH F T,77,control,natural,NatCon,4.538,0,0.000000806,line,2,58.60469,4.070814728
17,canift,K AH N IH F T,38,control,natural,NatCon,4.538,0,0.000000806,line,2,94.92241,4.553059821
